Key,Translation,Version,Comment
<Gamepad>,Manette de jeu,,
<Keyboard>,Clavier,,
<Mouse>,Souris,,
abort,Abandonner,,
aborting.expedition.died,Abandon de l'expédition. Le membre d'équipage {0} est décédé avant d'entrer dans la navette.,,
aborting.expedition.target.too.far,Abandon de l'expédition. Nous sommes trop loin de notre cible {0}.,,
about,À propos de,,
about.mods,À propos des Mods,,
about.wallet,Comment gagner de l'argent,,
about.wallet.desc,Les devises peuvent être minées après avoir installé une amélioration de minage sur votre ordinateur ou sur des appareils de minage compatibles. Vous pouvez également obtenir de l'argent en échangeant des marchandises.,2022-03-19,
achievement.AsimovOverride,IA Criminel,,
achievement.AsimovOverride.desc,Installer le module de dérogation Asimov.,,
achievement.Breached,Abordage,,
achievement.Breached.desc,Faites-vous aborder par des pillards avec une capsule d'abordage.,,
achievement.CatRidingCleaningBot,Joy Ride,,
achievement.CatRidingCleaningBot.desc,Demandez à un chat de monter sur un robot de nettoyage.,,
achievement.CloneHuman,Je sais qui je suis.,,
achievement.CloneHuman.desc,Cloner un humain.,,
achievement.Colonize,La FIN,,
achievement.Colonize.desc,Installez votre colonie humaine sur une planète habitable.,,
achievement.CPUDestroyed,Je reviendrai...,,
achievement.CPUDestroyed.desc,Perdez votre ordinateur de bord.,,
achievement.CrawlerAttach,Câlins gratuits.,,
achievement.CrawlerAttach.desc,Obtenez un Crawler attaché à un colon humain.,,
achievement.CrawlerUber,Taxi pour un Crawler.,,
achievement.CrawlerUber.desc,Récupérez un Crawler au retour d'une expédition minière.,,
achievement.Crypto,Crypto Bro,,
achievement.Crypto.desc,"Installez l'amélioration ""Starcreds minieur"" dans votre ordinateur de bord.",,
achievement.date,Réalisé le: {0},,
achievement.DiscoverEgg,Ce n'était pas ici avant.,,
achievement.DiscoverEgg.desc,Découvrer un oeuf sur votre vaisseau.,,
achievement.DiscoverTerraformable,J'ai trouvé !,,
achievement.DiscoverTerraformable.desc,Découvrez une planète terraformable.,,
achievement.Elysium,Elysium,,
achievement.Elysium.desc,Transformez votre chambre de stase en Elysium.,,
achievement.FirstContact,Premier contact,,
achievement.FirstContact.desc,Rencontrer une autre faction.,,
